"Date","Price","Open","High","Low","Vol.","Change %"
"14-07-2022","6.7611","6.7256","6.7916","6.7236","","0.54%"
"13-07-2022","6.7251","6.7361","6.7479","6.7103","","-0.17%"
"12-07-2022","6.7366","6.7259","6.7537","6.7210","","0.17%"
"11-07-2022","6.7252","6.6859","6.7270","6.6856","","0.62%"
"08-07-2022","6.6839","6.6930","6.7101","6.6828","","-0.12%"
"07-07-2022","6.6922","6.7158","6.7205","6.6906","","-0.34%"
"06-07-2022","6.7147","6.7119","6.7196","6.7025","","0.04%"
"05-07-2022","6.7118","6.6940","6.7249","6.6814","","0.27%"
"04-07-2022","6.6939","6.6997","6.7070","6.6802","","-0.04%"
"01-07-2022","6.6967","6.6948","6.7276","6.6935","","0.06%"
"30-06-2022","6.6928","6.7074","6.7123","6.6895","","-0.21%"
"29-06-2022","6.7068","6.7026","6.7181","6.6928","","0.06%"
"28-06-2022","6.7025","6.6927","6.7144","6.6683","","0.17%"
"27-06-2022","6.6914","6.6827","6.6943","6.6768","","0.13%"
"24-06-2022","6.6826","6.6996","6.7038","6.6749","","-0.25%"
"23-06-2022","6.6995","6.7126","6.7201","6.6944","","-0.18%"
"22-06-2022","6.7118","6.6923","6.7345","6.6891","","0.31%"
"21-06-2022","6.6912","6.6891","6.7015","6.6715","","0.03%"
"20-06-2022","6.6893","6.7106","6.7167","6.6684","","-0.29%"
"17-06-2022","6.7085","6.6845","6.7259","6.6835","","0.37%"
"16-06-2022","6.6836","6.6686","6.7285","6.6679","","0.24%"
"15-06-2022","6.6674","6.7560","6.7586","6.6664","","-1.31%"
"14-06-2022","6.7558","6.7815","6.7863","6.7270","","-0.36%"
"13-06-2022","6.7803","6.7319","6.7859","6.7319","","0.74%"
"10-06-2022","6.7308","6.7010","6.7382","6.6853","","0.46%"
"09-06-2022","6.7003","6.7013","6.7101","6.6655","","0.01%"
"08-06-2022","6.6999","6.6713","6.7025","6.6665","","0.45%"
"07-06-2022","6.6699","6.6575","6.6891","6.6530","","0.21%"
"06-06-2022","6.6557","6.6484","6.6650","6.6360","","-0.03%"
"03-06-2022","6.6575","6.6575","6.6635","6.6178","","0.05%"
"02-06-2022","6.6539","6.6982","6.7155","6.6537","","-0.64%"
"01-06-2022","6.6970","6.6788","6.7141","6.6726","","0.27%"
"31-05-2022","6.6787","6.6712","6.6934","6.6596","","0.11%"
"30-05-2022","6.6712","6.7196","6.7231","6.6544","","-0.72%"
"27-05-2022","6.7196","6.7680","6.7864","6.7074","","-0.70%"
"26-05-2022","6.7670","6.7132","6.7719","6.7009","","0.82%"
"25-05-2022","6.7122","6.6574","6.7229","6.6568","","0.84%"
"24-05-2022","6.6566","6.6619","6.6921","6.6560","","-0.06%"
"23-05-2022","6.6605","6.6961","6.7053","6.6469","","-0.51%"
"20-05-2022","6.6948","6.7278","6.7437","6.6716","","-0.47%"
"19-05-2022","6.7266","6.7800","6.7896","6.7158","","-0.77%"
"18-05-2022","6.7790","6.7412","6.7867","6.7334","","0.59%"
"17-05-2022","6.7390","6.7982","6.8014","6.7248","","-0.83%"
"16-05-2022","6.7956","6.7965","6.8215","6.7828","","0.02%"
"13-05-2022","6.7943","6.8267","6.8386","6.7832","","-0.46%"
"12-05-2022","6.8257","6.7634","6.8329","6.7543","","0.96%"
"11-05-2022","6.7611","6.7461","6.7679","6.7305","","0.24%"
"10-05-2022","6.7449","6.7560","6.7776","6.7096","","-0.15%"
"09-05-2022","6.7547","6.7042","6.7778","6.6975","","0.58%"
"06-05-2022","6.7158","6.6830","6.7350","6.6788","","0.53%"
"05-05-2022","6.6802","6.6224","6.6995","6.6150","","0.98%"
"04-05-2022","6.6155","6.6483","6.6701","6.6109","","-0.45%"
"03-05-2022","6.6453","6.6751","6.6991","6.6430","","-0.44%"
"02-05-2022","6.6745","6.6399","6.6907","6.6390","","0.52%"
"29-04-2022","6.6397","6.6592","6.6949","6.6092","","-0.27%"
"28-04-2022","6.6579","6.5868","6.6758","6.5854","","1.11%"
"27-04-2022","6.5845","6.5908","6.5967","6.5750","","-0.06%"
"26-04-2022","6.5887","6.5715","6.5988","6.5445","","0.29%"
"25-04-2022","6.5696","6.5277","6.6097","6.5226","","0.69%"
"22-04-2022","6.5243","6.4807","6.5482","6.4721","","0.71%"
"21-04-2022","6.4783","6.4451","6.4844","6.4323","","0.55%"
"20-04-2022","6.4430","6.4191","6.4577","6.4131","","0.41%"
"19-04-2022","6.4164","6.3791","6.4247","6.3765","","0.58%"
"18-04-2022","6.3791","6.3811","6.3918","6.3732","","-0.02%"
"15-04-2022","6.3801","6.3896","6.3945","6.3770","","-0.12%"
"14-04-2022","6.3880","6.3771","6.3966","6.3714","","0.19%"
"13-04-2022","6.3760","6.3766","6.3835","6.3703","","0.02%"
"12-04-2022","6.3745","6.3877","6.3915","6.3731","","-0.19%"
"11-04-2022","6.3864","6.3685","6.3906","6.3664","","0.31%"
"08-04-2022","6.3667","6.3625","6.3773","6.3579","","0.09%"
"07-04-2022","6.3611","6.3590","6.3700","6.3574","","0.05%"
"06-04-2022","6.3579","6.3771","6.3883","6.3575","","-0.28%"
"05-04-2022","6.3758","6.3741","6.3825","6.3611","","0.06%"
"04-04-2022","6.3720","6.3665","6.3784","6.3646","","0.11%"
"01-04-2022","6.3649","6.3546","6.3736","6.3505","","0.18%"
"31-03-2022","6.3533","6.3600","6.3629","6.3446","","-0.08%"
"30-03-2022","6.3587","6.3752","6.3790","6.3555","","-0.22%"
"29-03-2022","6.3730","6.3865","6.3892","6.3709","","-0.21%"
"28-03-2022","6.3864","6.3847","6.3998","6.3804","","0.06%"
"25-03-2022","6.3827","6.3825","6.3866","6.3716","","0.02%"
"24-03-2022","6.3812","6.3885","6.3946","6.3786","","-0.10%"
"23-03-2022","6.3877","6.3765","6.3922","6.3738","","0.21%"
"22-03-2022","6.3745","6.3697","6.3794","6.3678","","0.09%"
"21-03-2022","6.3685","6.3665","6.3809","6.3609","","0.07%"
"18-03-2022","6.3640","6.3628","6.3822","6.3594","","0.06%"
"17-03-2022","6.3604","6.3630","6.3702","6.3542","","0.00%"
"16-03-2022","6.3603","6.3814","6.3926","6.3521","","-0.32%"
"15-03-2022","6.3804","6.3950","6.4118","6.3797","","-0.21%"
"14-03-2022","6.3939","6.3580","6.3991","6.3555","","0.60%"
"11-03-2022","6.3560","6.3273","6.3662","6.3236","","0.49%"
"10-03-2022","6.3251","6.3232","6.3323","6.3207","","0.06%"
"09-03-2022","6.3213","6.3254","6.3316","6.3175","","-0.04%"
"08-03-2022","6.3236","6.3263","6.3306","6.3119","","0.00%"
"07-03-2022","6.3237","6.3244","6.3320","6.3197","","0.03%"
"04-03-2022","6.3221","6.3225","6.3316","6.3166","","0.00%"
"03-03-2022","6.3223","6.3238","6.3282","6.3179","","0.01%"
"02-03-2022","6.3218","6.3174","6.3326","6.3106","","0.08%"
"01-03-2022","6.3168","6.3141","6.3226","6.3048","","0.09%"
"28-02-2022","6.3112","6.3081","6.3246","6.3067","","0.09%"
"25-02-2022","6.3058","6.3230","6.3268","6.3072","","-0.25%"
"24-02-2022","6.3214","6.3124","6.3358","6.3054","","0.18%"
"23-02-2022","6.3099","6.3239","6.3303","6.3072","","-0.21%"
"22-02-2022","6.3229","6.3260","6.3460","6.3183","","-0.03%"
"21-02-2022","6.3245","6.3235","6.3317","6.3187","","0.02%"
"18-02-2022","6.3233","6.3344","6.3372","6.3179","","-0.15%"
